bet_id,sportsbook,type,status,odds,closing_line,ev,amount,profit,time_placed,time_settled,time_placed_iso,time_settled_iso,bet_info,tags,sports,leagues
partner_c0acda60-302c-4b1c-bbd4-b633814e7b02,ProphetX,straight,SETTLED_WIN,2.1955999999999998,2.061744780994725,0.0649,50,59.78,04/08/2026 01:41:08 GMT,04/08/2026 06:00:00 GMT,2026-04-08T01:41:08.000Z,2026-04-08T06:00:00.000Z,under 18.5 Jalen Green Points Houston Rockets at Phoenix Suns,,Basketball,NBA
partner_3d5d5c8f-5f64-42af-badb-cd9008046e41,ProphetX,straight,SETTLED_WIN,2.0192,2.035019045467228,-0.0078,48.08,49.00,04/08/2026 02:54:05 GMT,04/08/2026 06:00:00 GMT,2026-04-08T02:54:05.000Z,2026-04-08T06:00:00.000Z,under 24.5 Kevin Durant Points Houston Rockets at Phoenix Suns,,Basketball,NBA
partner_a029ed03-1203-4d85-9b83-56ea40daa585,ProphetX,straight,SETTLED_WIN,2.0388,2.035019045467228,0.0019,13.1,13.61,04/08/2026 02:53:37 GMT,04/08/2026 06:00:00 GMT,2026-04-08T02:53:37.000Z,2026-04-08T06:00:00.000Z,under 24.5 Kevin Durant Points Houston Rockets at Phoenix Suns,,Basketball,NBA
partner_b9ba62dd-0470-41b7-b643-2b37c39a9b8a,ProphetX,straight,SETTLED_WIN,2.0388,2.035019045467228,0.0019,50,51.94,04/08/2026 02:53:05 GMT,04/08/2026 06:00:00 GMT,2026-04-08T02:53:05.000Z,2026-04-08T06:00:00.000Z,under 24.5 Kevin Durant Points Houston Rockets at Phoenix Suns,,Basketball,NBA
partner_afdcb58c-b556-4fca-aa74-3e7634937056,ProphetX,straight,SETTLED_WIN,2.127,2.061744780994725,0.0317,50,56.35,04/08/2026 02:47:04 GMT,04/08/2026 06:00:00 GMT,2026-04-08T02:47:04.000Z,2026-04-08T06:00:00.000Z,under 18.5 Jalen Green Points Houston Rockets at Phoenix Suns,,Basketball,NBA
partner_e1a20d50-07aa-4b32-892d-01837fe76fce,ProphetX,straight,SETTLED_WIN,2.1171999999999995,2.035019045467228,0.0404,50,55.86,04/08/2026 02:12:06 GMT,04/08/2026 06:00:00 GMT,2026-04-08T02:12:06.000Z,2026-04-08T06:00:00.000Z,under 24.5 Kevin Durant Points Houston Rockets at Phoenix Suns,,Basketball,NBA
partner_2c433e5e-5c2b-4309-b28b-593b7791db1f,ProphetX,straight,SETTLED_WIN,2.029,2.0996329879783953,-0.0336,50,51.45,04/08/2026 01:41:08 GMT,04/08/2026 06:00:00 GMT,2026-04-08T01:41:08.000Z,2026-04-08T06:00:00.000Z,under 3.5 Reed Sheppard Assists Houston Rockets at Phoenix Suns,,Basketball,NBA
partner_171c2c39-1ec1-456b-8283-82cb012d92da,ProphetX,straight,SETTLED_WIN,2.0878000000000005,1.9689855951611908,0.0603,10,10.88,04/08/2026 01:51:39 GMT,04/08/2026 06:00:00 GMT,2026-04-08T01:51:39.000Z,2026-04-08T06:00:00.000Z,over 16.5 Amen Thompson Points Houston Rockets at Phoenix Suns,,Basketball,NBA
partner_d52f34a7-0d90-42e0-b7e0-f9abcc67affc,ProphetX,straight,SETTLED_WIN,2.127,2.0504587000291132,0.0373,10,11.27,04/08/2026 01:50:09 GMT,04/08/2026 06:00:00 GMT,2026-04-08T01:50:09.000Z,2026-04-08T06:00:00.000Z,over 7.5 Jordan Goodwin Points Houston Rockets at Phoenix Suns,,Basketball,NBA
partner_75cbc394-8eff-404e-851c-2b5421ee196c,ProphetX,straight,SETTLED_LOSS,2.1955999999999998,,,10,-10.00,04/08/2026 02:38:05 GMT,04/08/2026 05:38:05 GMT,2026-04-08T02:38:05.000Z,2026-04-08T05:38:05.000Z,over 27.5 Cooper Flagg Points Dallas Mavericks at Los Angeles Clippers,,Basketball,NBA
partner_c9243bdf-79df-4450-a11b-0eaf76f6b93d,ProphetX,straight,SETTLED_LOSS,2.127,,,10,-10.00,04/08/2026 02:36:05 GMT,04/08/2026 05:36:05 GMT,2026-04-08T02:36:05.000Z,2026-04-08T05:36:05.000Z,over 27.5 Cooper Flagg Points Dallas Mavericks at Los Angeles Clippers,,Basketball,NBA
partner_5db6e748-8ff0-4272-9c21-6473e59c0b1d,ProphetX,straight,SETTLED_WIN,2.1563999999999997,,,40.83,47.22,04/08/2026 02:32:37 GMT,04/08/2026 05:32:37 GMT,2026-04-08T02:32:37.000Z,2026-04-08T05:32:37.000Z,under 14.5 Naji Marshall Points Dallas Mavericks at Los Angeles Clippers,,Basketball,NBA
partner_c0e169a1-1926-4678-bf83-d2f9438d53b5,ProphetX,straight,SETTLED_WIN,1.9607843137254903,1.963833305140635,-0.0016,20.4,19.60,04/08/2026 00:40:12 GMT,04/08/2026 05:30:00 GMT,2026-04-08T00:40:12.000Z,2026-04-08T05:30:00.000Z,under 7.5 Cason Wallace Points Oklahoma City Thunder at Los Angeles Lakers,,Basketball,NBA
partner_39e630a8-4f29-439f-8a4d-661006baf5c8,ProphetX,straight,SETTLED_LOSS,2.1955999999999993,2.067219162648733,0.0621,3.7,-3.70,04/08/2026 02:02:39 GMT,04/08/2026 05:30:00 GMT,2026-04-08T02:02:39.000Z,2026-04-08T05:30:00.000Z,over 15.5 Chet Holmgren Points Oklahoma City Thunder at Los Angeles Lakers,,Basketball,NBA
partner_9dc9bfb7-f133-47be-866d-16a8dd626245,ProphetX,straight,SETTLED_LOSS,2.1955999999999998,2.067219162648733,0.0621,10,-10.00,04/08/2026 00:40:12 GMT,04/08/2026 05:30:00 GMT,2026-04-08T00:40:12.000Z,2026-04-08T05:30:00.000Z,over 15.5 Chet Holmgren Points Oklahoma City Thunder at Los Angeles Lakers,,Basketball,NBA
partner_87a8ee57-c109-4637-bb95-9bf45bc8e176,ProphetX,straight,SETTLED_PUSH,1.9702970297029705,1.9603174603174602,0.0051,24.27,0.00,04/08/2026 00:41:08 GMT,04/08/2026 05:30:00 GMT,2026-04-08T00:41:08.000Z,2026-04-08T05:30:00.000Z,under 7.5 Jaxson Hayes Points Oklahoma City Thunder at Los Angeles Lakers,,Basketball,NBA
partner_bbe106f6-92c8-4c8f-90bc-bca907bc2081,ProphetX,straight,SETTLED_WIN,1.8596491228070173,1.781555782014978,0.0438,50,42.98,04/08/2026 02:15:06 GMT,04/08/2026 05:30:00 GMT,2026-04-08T02:15:06.000Z,2026-04-08T05:30:00.000Z,under 2.5 Bronny James Jr. Assists Oklahoma City Thunder at Los Angeles Lakers,,Basketball,NBA
partner_ccf7c25b-f51a-4c41-9f53-9d23bf32c7b4,ProphetX,straight,SETTLED_WIN,2.1563999999999997,2.003161556842383,0.0765,49.64,57.40,04/08/2026 01:00:58 GMT,04/08/2026 05:30:00 GMT,2026-04-08T01:00:58.000Z,2026-04-08T05:30:00.000Z,under 5.5 Bronny James Jr. Points Oklahoma City Thunder at Los Angeles Lakers,,Basketball,NBA
partner_9f778d51-9297-4750-be32-9a020710783f,ProphetX,straight,SETTLED_PUSH,1.9607843137254903,1.9603174603174602,0.0002,50,0.00,04/08/2026 01:32:39 GMT,04/08/2026 05:30:00 GMT,2026-04-08T01:32:39.000Z,2026-04-08T05:30:00.000Z,under 7.5 Jaxson Hayes Points Oklahoma City Thunder at Los Angeles Lakers,,Basketball,NBA
partner_2e13d50b-0fc9-41e1-a0d4-963f0b3a7294,ProphetX,straight,SETTLED_PUSH,1.9607843137254903,1.9603174603174602,0.0002,50,0.00,04/08/2026 01:34:41 GMT,04/08/2026 05:30:00 GMT,2026-04-08T01:34:41.000Z,2026-04-08T05:30:00.000Z,under 7.5 Jaxson Hayes Points Oklahoma City Thunder at Los Angeles Lakers,,Basketball,NBA
partner_2f595b06-a608-480e-99a7-8b482adafb6a,ProphetX,straight,SETTLED_WIN,1.8672566371681416,1.86325622513629,0.0021,50,43.37,04/08/2026 01:02:09 GMT,04/08/2026 05:30:00 GMT,2026-04-08T01:02:09.000Z,2026-04-08T05:30:00.000Z,under 5.5 Jarred Vanderbilt Rebounds Oklahoma City Thunder at Los Angeles Lakers,,Basketball,NBA
partner_db723fe4-3925-4139-98cb-59fc1242f1ef,ProphetX,straight,SETTLED_PUSH,1.9607843137254903,1.9603174603174602,0.0002,50,0.00,04/08/2026 01:38:40 GMT,04/08/2026 05:30:00 GMT,2026-04-08T01:38:40.000Z,2026-04-08T05:30:00.000Z,under 7.5 Jaxson Hayes Points Oklahoma City Thunder at Los Angeles Lakers,,Basketball,NBA
